epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1677.53,0.89119,0.60786,0.96408,0.85511,0.80854,0.86251,0.66575,0.98068,0.71353,1.00917,0.000181701,0.000181701,0.000181701
70,1701.85,0.88887,0.60484,0.9665,0.83863,0.81271,0.85959,0.66289,0.98526,0.71849,1.00983,0.000176196,0.000176196,0.000176196
71,1725.68,0.89117,0.60319,0.96462,0.84741,0.81417,0.86354,0.66776,0.98501,0.71555,1.01085,0.000170692,0.000170692,0.000170692
72,1750.18,0.88686,0.60011,0.96533,0.85388,0.81894,0.8616,0.66579,0.98576,0.71704,1.01215,0.000165188,0.000165188,0.000165188
73,1774.82,0.88139,0.60003,0.96486,0.84934,0.8197,0.86198,0.66456,0.98435,0.72306,1.01411,0.000159683,0.000159683,0.000159683
74,1798.18,0.88196,0.59452,0.96413,0.85837,0.80591,0.86257,0.66609,0.98313,0.7205,1.01292,0.000154179,0.000154179,0.000154179
75,1822.2,0.88094,0.59312,0.96273,0.84476,0.82175,0.86384,0.66757,0.98301,0.71443,1.01519,0.000148674,0.000148674,0.000148674
76,1845.97,0.87871,0.59023,0.96053,0.83595,0.82919,0.86125,0.66545,0.99122,0.72179,1.01787,0.00014317,0.00014317,0.00014317
77,1870.14,0.8683,0.58114,0.95732,0.86021,0.81215,0.86193,0.66762,0.98409,0.71737,1.01552,0.000137666,0.000137666,0.000137666
78,1894.42,0.87188,0.5813,0.9582,0.84508,0.82004,0.86162,0.66351,0.98442,0.71728,1.01335,0.000132161,0.000132161,0.000132161
79,1918.48,0.86787,0.5785,0.95833,0.85486,0.80911,0.86088,0.66534,0.98826,0.71971,1.01988,0.000126657,0.000126657,0.000126657
80,1942.44,0.86578,0.5761,0.95577,0.85171,0.81474,0.8632,0.66807,0.9829,0.71817,1.0151,0.000121152,0.000121152,0.000121152
81,1966.84,0.86622,0.57513,0.955,0.84263,0.82629,0.86422,0.67022,0.98194,0.72045,1.0159,0.000115648,0.000115648,0.000115648
82,1990.65,0.85891,0.5709,0.95361,0.85339,0.81343,0.86041,0.6661,0.98623,0.71659,1.01402,0.000110144,0.000110144,0.000110144
83,2014.32,0.85598,0.57227,0.9546,0.85701,0.80764,0.86197,0.66713,0.9894,0.72186,1.01955,0.000104639,0.000104639,0.000104639
84,2038.05,0.85736,0.56659,0.95236,0.84739,0.82185,0.8643,0.67075,0.98871,0.72299,1.015,9.91348e-05,9.91348e-05,9.91348e-05
85,2062.26,0.85322,0.56426,0.95308,0.85213,0.82321,0.86457,0.67133,0.98194,0.72435,1.01335,9.36304e-05,9.36304e-05,9.36304e-05
86,2086.29,0.8569,0.56273,0.95295,0.84719,0.81705,0.8614,0.668,0.98602,0.7263,1.01465,8.8126e-05,8.8126e-05,8.8126e-05
87,2110.18,0.85237,0.55774,0.95163,0.84907,0.82222,0.86218,0.66902,0.98604,0.72412,1.01616,8.26216e-05,8.26216e-05,8.26216e-05
88,2134.4,0.8482,0.5586,0.94876,0.86672,0.80635,0.86412,0.6721,0.9817,0.71943,1.01443,7.71172e-05,7.71172e-05,7.71172e-05
89,2158.45,0.84469,0.5585,0.948,0.86103,0.8155,0.86788,0.67591,0.98122,0.72067,1.01445,7.16128e-05,7.16128e-05,7.16128e-05
90,2182.32,0.84672,0.55195,0.94887,0.86533,0.81109,0.86589,0.67323,0.98626,0.72121,1.01523,6.61084e-05,6.61084e-05,6.61084e-05
91,2207.23,0.82516,0.51084,0.92958,0.83849,0.82364,0.86096,0.6676,0.99457,0.72375,1.01776,6.0604e-05,6.0604e-05,6.0604e-05
92,2231.35,0.80356,0.48794,0.92232,0.84538,0.82466,0.86241,0.66717,0.99541,0.7256,1.02282,5.50996e-05,5.50996e-05,5.50996e-05
93,2255.3,0.80087,0.48553,0.92226,0.8639,0.81364,0.86212,0.66933,0.99215,0.72677,1.02136,4.95952e-05,4.95952e-05,4.95952e-05
94,2279.44,0.79976,0.48519,0.92382,0.85572,0.82004,0.86319,0.66983,0.99261,0.7262,1.02221,4.40908e-05,4.40908e-05,4.40908e-05
95,2303.75,0.7929,0.47653,0.91943,0.85782,0.81896,0.86374,0.67102,0.98737,0.72655,1.02192,3.85864e-05,3.85864e-05,3.85864e-05
96,2333.14,0.79024,0.4707,0.91885,0.85904,0.81841,0.86394,0.67144,0.99013,0.72825,1.02109,3.3082e-05,3.3082e-05,3.3082e-05
97,2357.47,0.7893,0.47102,0.91812,0.86113,0.8193,0.86398,0.6726,0.99028,0.72753,1.02348,2.75776e-05,2.75776e-05,2.75776e-05
98,2381.54,0.78495,0.4682,0.91763,0.85678,0.82195,0.864,0.67198,0.98831,0.72953,1.02102,2.20732e-05,2.20732e-05,2.20732e-05
99,2405.07,0.78372,0.46856,0.91676,0.86605,0.81349,0.86369,0.67148,0.98884,0.7294,1.02226,1.65688e-05,1.65688e-05,1.65688e-05
100,2428.5,0.77661,0.46206,0.91363,0.85545,0.81976,0.86339,0.67257,0.98759,0.73012,1.02232,1.10644e-05,1.10644e-05,1.10644e-05
